name,Effect,Estimate,Std. Error,t value,Pr(>|t|)
FDis,(Intercept),0.22674033755253528,0.002120273738389047,106.93918122327415,0
FDis,richness,2.5708312612860394e-4,3.478664339564062e-5,7.3902826209677075,5.581750309976482e-13
FDis,typePresence/Absence,0.020600875157838223,0.0029985198767732944,6.870348039849185,1.7637339049036322e-11
FDis,richness:typePresence/Absence,-2.0810881022709286e-4,4.919574287955144e-5,-4.230219893957425,2.7409649742661158e-5
FEve,(Intercept),0.6300163752417155,0.006643279562589029,94.83514419438109,0
FEve,richness,-8.28615735214056e-6,1.0899413266181206e-4,-0.07602388449524088,0.9394281490098753
FEve,typePresence/Absence,0.2577214525101765,0.009395016056049409,27.43172028367432,1.5352542433258873e-104
FEve,richness:typePresence/Absence,1.9617780532406854e-5,1.5414098062942698e-4,0.12727167332333444,0.8987725826368405
FRic,(Intercept),-0.00735130061633005,0.0020928426944848448,-3.5125910971247554,4.807919109588526e-4
FRic,richness,0.002889459012323775,3.433659115710719e-5,84.15101543141091,2.52523952855e-313
FRic,typePresence/Absence,6.949426578131994e-17,0.0029597265224539197,2.3479961832318885e-14,0.9999999999999813
FRic,richness:typePresence/Absence,-9.665748598551967e-19,4.855927290004109e-5,-1.9905052158521484e-14,0.9999999999999841
FDiv,(Intercept),0.852875492456506,0.005563861196128004,153.28842010833017,0
FDiv,richness,-3.4252460681926273e-4,9.128446569337899e-5,-3.752277062888112,1.9413385228037e-4
FDiv,typePresence/Absence,-0.01386168413363473,0.007868487962725615,-1.761670628372302,0.07868869771190538
FDiv,richness:typePresence/Absence,1.6325452461472893e-4,1.2909572941755812e-4,1.2646005049995475,0.20655806944776797
