name,Effect,Estimate,Std. Error,t value,Pr(>|t|)
FDis,(Intercept),0.21483080895865284,0.0019529874009434438,110.00112384487117,0
FDis,richness,3.098711240727266e-4,3.204203072590844e-5,9.670770455324858,1.627115777493293e-20
FDis,typePresence/Absence,0.02172469218804682,0.0027619412695579996,7.865732855182499,1.9994834749072256e-14
FDis,richness:typePresence/Absence,-2.058363928529693e-4,4.531427441855515e-5,-4.542418376861046,6.859981586659075e-6
FEve,(Intercept),0.6375506791925002,0.005861350832091923,108.7719703966189,0
FEve,richness,-3.1732202377960676e-5,9.61652816431339e-5,-0.32997566102616743,0.7415458484761723
FEve,typePresence/Absence,0.2596984448904869,0.008289201840571223,31.329728710356825,9.755810258900903e-124
FEve,richness:typePresence/Absence,2.4229445995493852e-4,1.3599824552914844e-4,1.7815998950001724,0.07537433411546358
FRic,(Intercept),-0.010018706069976747,0.0019487134472736902,-5.141189990756837,3.818714717629503e-7
FRic,richness,0.0026612069382561518,3.197190935454618e-5,83.2357839109708,6.1926061331074e-311
FRic,typePresence/Absence,9.82256420361457e-17,0.00275589698631328,3.5641986084373826e-14,0.9999999999999716
FRic,richness:typePresence/Absence,-1.4187736246997332e-18,4.5215107824162454e-5,-3.1378308998337854e-14,0.9999999999999749
FDiv,(Intercept),0.8423513012391647,0.005245961325079874,160.5713898827379,0
FDiv,richness,-8.485172768018779e-5,8.606878563780575e-5,-0.9858594733433375,0.3246419589936752
FDiv,typePresence/Absence,0.006772366745343428,0.007418909653612692,0.912852031032023,0.3617262309535839
FDiv,richness:typePresence/Absence,-1.3474300210331613e-4,1.217196439459676e-4,-1.1069947112491532,0.26878726917511797
